,City,City latitude,City longitude,Max temperature,Humidity,Cloud coverage,Wind speed,City country,City datetime
0,Rimbey,52.63,-114.24,23.0,73,75,12.75,CA,1602912233
1,Ocampo,21.65,-101.5,51.21,86,72,16.51,MX,1602912233
2,Havre-St-Pierre,50.23,-63.6,46.4,87,90,13.87,CA,1602912234
3,Manokwari,-0.87,134.08,85.01,67,100,4.92,ID,1602912234
4,Jamestown,42.1,-79.24,32.0,87,1,5.82,US,1602912234
5,Severo-Kuril'sk,50.68,156.12,43.79,68,82,24.32,RU,1602912235
6,Rikitea,-23.12,-134.97,74.03,82,100,20.67,PF,1602912235
7,Vardø,70.37,31.11,37.94,73,100,11.41,NO,1602912235
8,Pevek,69.7,170.31,34.36,89,36,13.6,RU,1602912236
9,Talnakh,69.49,88.4,24.8,73,20,20.13,RU,1602912236
10,Kushima,31.46,131.23,62.6,77,90,6.93,JP,1602912236
11,Carnarvon,-24.87,113.63,77.0,65,0,18.34,AU,1602912236
12,Cabo San Lucas,22.89,-109.91,82.0,82,0,4.16,MX,1602912237
13,Ushuaia,-54.8,-68.3,39.2,80,6,8.05,AR,1602912084
14,Praia da Vitória,38.73,-27.07,62.01,93,40,6.73,PT,1602912238
15,Kavieng,-2.57,150.8,84.24,69,97,11.34,PG,1602912238
16,Saint-Philippe,-21.36,55.77,78.8,65,2,9.17,RE,1602912238
17,Margate,51.38,1.39,51.01,82,100,1.99,GB,1602912239
18,Qaanaaq,77.48,-69.36,28.45,89,34,5.86,GL,1602912239
19,Hamilton,39.18,-84.53,44.01,93,1,5.44,US,1602912239
20,El Dovio,4.51,-76.24,63.59,98,96,2.84,CO,1602912240
21,George Town,5.41,100.34,89.6,66,40,4.7,MY,1602912240
22,East London,-33.02,27.91,64.4,82,2,3.36,ZA,1602912194
23,Clyde River,70.47,-68.59,32.0,95,90,6.93,CA,1602912241
24,Dikson,73.51,80.55,16.34,95,4,14.92,RU,1602912242
25,Punta Arenas,-53.15,-70.92,35.6,93,40,6.93,CL,1602912030
26,Saldanha,-33.01,17.94,60.8,82,51,6.93,ZA,1602912242
27,Upernavik,72.79,-56.15,38.48,77,100,0.56,GL,1602912242
28,Tasiilaq,65.61,-37.64,35.6,69,92,10.29,GL,1602912243
29,Hermanus,-34.42,19.23,59.0,95,65,1.01,ZA,1602912243
30,Thompson,55.74,-97.86,26.6,92,90,8.05,CA,1602912244
31,Staryy Nadym,65.61,72.68,30.81,96,98,10.38,RU,1602912244
32,Mar del Plata,-38.0,-57.56,59.0,100,0,10.47,AR,1602912244
33,Yurginskoye,56.82,67.39,50.29,77,100,10.8,RU,1602912244
34,Butaritari,3.07,172.79,82.36,75,34,13.62,KI,1602912245
35,Khatanga,71.97,102.5,2.59,90,0,4.05,RU,1602912245
36,Yellowknife,62.46,-114.35,24.01,92,90,17.22,CA,1602912246
37,Carballo,43.21,-8.69,55.99,76,100,14.99,ES,1602912246
38,Geraldton,-28.77,114.6,78.8,31,90,18.34,AU,1602912246
39,Yicheng,31.37,119.87,62.01,74,5,1.01,CN,1602912247
40,Vila Franca do Campo,37.72,-25.43,62.6,72,20,4.7,PT,1602912247
41,Concepción del Uruguay,-32.48,-58.24,63.48,94,0,7.74,AR,1602912058
42,Iranshahr,27.2,60.68,77.0,9,0,9.17,IR,1602912248
43,Tsabong,-26.02,22.4,77.61,23,0,8.43,BW,1602912248
44,Hobart,-42.88,147.33,48.2,81,75,6.93,AU,1602912050
45,Tilichiki,60.47,166.1,34.95,84,42,4.54,RU,1602912249
46,Dryden,49.78,-92.75,26.6,86,90,4.7,CA,1602912249
47,Lompoc,34.64,-120.46,64.99,54,1,5.61,US,1602912249
48,Arraial do Cabo,-22.97,-42.03,68.32,78,88,2.28,BR,1602912127
49,Norman Wells,65.28,-126.83,21.2,79,90,12.75,CA,1602912250
50,Eureka,40.8,-124.16,55.99,87,1,8.05,US,1602912153
51,Capari,41.06,21.18,37.4,93,20,3.36,MK,1602912250
52,Bambous Virieux,-20.34,57.76,80.01,69,20,6.93,MU,1602912250
53,Salalah,17.02,54.09,84.2,45,20,3.31,OM,1602912251
54,Sitrah,26.15,50.62,86.0,51,0,6.93,BH,1602912251
55,Barra,-11.09,-43.14,77.14,43,11,7.87,BR,1602912252
56,Hilo,19.73,-155.09,78.8,78,1,7.92,US,1602912252
57,Manzhouli,49.6,117.43,39.29,60,18,17.56,CN,1602912252
58,Quatre Cocos,-20.21,57.76,80.01,69,20,6.93,MU,1602912253
59,Nantucket,41.28,-70.1,62.01,88,40,12.75,US,1602912254
60,Tuktoyaktuk,69.45,-133.04,23.0,79,90,19.46,CA,1602912254
61,Puerto Ayora,-0.74,-90.35,69.01,94,97,3.0,EC,1602912254
62,Bathsheba,13.22,-59.52,80.6,83,20,11.41,BB,1602912255
63,Muravlenko,63.79,74.52,29.08,94,95,30.69,RU,1602912255
64,Crixás,-14.55,-49.97,78.19,59,56,9.82,BR,1602912255
65,Atraulī,28.03,78.28,89.4,20,0,1.5,IN,1602912255
66,Port Pirie,-33.18,138.02,62.6,67,90,18.34,AU,1602912256
67,Avarua,-21.21,-159.78,73.4,73,72,8.05,CK,1602912256
68,Castro,-24.79,-50.01,51.35,89,60,9.89,BR,1602912256
69,Provideniya,64.38,-173.3,38.73,94,42,8.34,RU,1602912257
70,Cascais,38.7,-9.42,55.99,87,96,2.24,PT,1602912257
71,Hithadhoo,-0.6,73.08,83.86,73,40,19.98,MV,1602912257
72,Bredasdorp,-34.53,20.04,59.0,93,77,8.05,ZA,1602912258
73,Airai,-8.93,125.41,79.59,43,43,4.0,TL,1602912258
74,Busselton,-33.65,115.33,73.99,33,0,1.03,AU,1602912258
75,Bengkulu,-3.8,102.27,84.36,67,32,7.27,ID,1602912258
76,La Spezia,44.11,9.84,54.0,82,19,1.99,IT,1602912259
77,Emerald,-23.53,148.17,86.0,27,0,17.22,AU,1602912259
78,Atuona,-9.8,-139.03,78.6,74,3,18.77,PF,1602912259
79,Cape Town,-33.93,18.42,61.0,87,90,4.7,ZA,1602912062
80,Albany,42.6,-73.97,46.0,69,100,7.72,US,1602912260
81,San Bartolomé de Tirajana,27.92,-15.57,71.6,68,75,9.17,ES,1602912260
82,Vila Velha,-20.33,-40.29,69.8,77,90,9.17,BR,1602912082
83,Bambuí,-20.01,-45.98,64.58,89,100,5.61,BR,1602912261
84,Port Alfred,-33.59,26.89,67.19,67,30,4.81,ZA,1602912261
85,Souillac,-20.52,57.52,77.0,69,20,6.93,MU,1602912262
86,Katsuura,35.13,140.3,55.0,91,100,3.0,JP,1602912262
87,Laï,9.4,16.3,71.08,84,74,2.82,TD,1602912262
88,Lively,46.43,-81.15,32.0,95,5,8.05,CA,1602912263
89,Bethel,41.37,-73.41,45.0,96,100,1.01,US,1602912263
90,Coutances,49.05,-1.43,52.0,81,20,3.36,FR,1602912264
91,Longyearbyen,78.22,15.64,24.8,62,40,11.41,SJ,1602912264
92,Maragogi,-9.01,-35.22,74.73,87,20,8.86,BR,1602912028
93,Torbay,47.67,-52.73,46.4,100,5,3.36,CA,1602912265
94,San Cristobal,7.77,-72.22,65.61,89,95,3.56,VE,1602912265
95,Sola,-13.88,167.55,79.72,83,4,16.06,VU,1602912266
96,Leningradskiy,69.38,178.42,32.27,93,65,8.97,RU,1602912266
97,Constitución,-35.33,-72.42,52.07,91,6,1.48,CL,1602912266
98,Jeremoabo,-10.07,-38.48,68.45,88,47,9.51,BR,1602912266
99,The Valley,18.22,-63.06,79.0,88,75,8.05,AI,1602912267
100,Aswān,24.09,32.91,80.28,29,0,10.38,EG,1602912267
101,Codrington,-38.27,141.97,54.52,78,90,18.34,AU,1602912267
102,Ribeira Grande,38.52,-28.7,63.23,65,77,8.88,PT,1602912268
103,San Patricio,28.02,-97.52,62.6,88,90,10.29,US,1602912268
104,Berlevåg,70.86,29.09,36.37,78,100,8.9,NO,1602912268
105,Bogalusa,30.79,-89.85,55.0,87,1,3.36,US,1602912269
106,Yumen,40.28,97.2,56.08,30,60,19.33,CN,1602912269
107,Cherskiy,68.75,161.3,27.3,99,95,4.05,RU,1602912270
108,Skjervøy,70.03,20.97,38.84,75,100,23.6,NO,1602912101
109,Toora-Khem,52.47,96.11,42.82,63,76,3.58,RU,1602912270
110,Saint-Pierre,-21.34,55.48,78.8,65,4,9.17,RE,1602912271
111,Saint Paul Harbor,57.79,-152.41,35.6,80,1,8.05,US,1602912271
112,Lagoa,39.05,-27.98,62.82,66,88,10.4,PT,1602912271
113,Bakchar,57.02,82.07,46.9,73,100,10.36,RU,1602912271
114,La Rioja,42.25,-2.5,39.0,100,60,5.39,ES,1602912272
115,New Norfolk,-42.78,147.06,46.99,83,100,2.08,AU,1602912272
116,Magadan,59.57,150.8,34.27,76,0,10.96,RU,1602912272
